Id,Total tp,Total fp,Total fn,Recall,Precision,F1 score
Few Shot,17,25,25,0.405,0.405,0.405
Zero Shot,7,14,35,0.167,0.333,0.222
CoT (FS),8,14,34,0.19,0.364,0.25
CoT (ZS),5,11,37,0.119,0.312,0.172
Completeness Types,3,11,39,0.071,0.214,0.107
Engineer Persona,16,26,26,0.381,0.381,0.381
Generated Knowledge,5,8,37,0.119,0.385,0.182
Repeated Instructions,7,15,35,0.167,0.318,0.219
Combined All,18,7,24,0.429,0.72,0.538
Combined CoT + RI,14,9,28,0.333,0.609,0.431
Combined GK + CT,18,4,24,0.429,0.818,0.563
